date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:03	31927/31927	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee650-7cb7%22	https://themewagon.github.io/spica/	E:/My%20Admin/themewagon.github.io/spica/index.html	(from )
15:26:04	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-239b%22	https://themewagon.github.io/robots.txt		(from )
15:26:04	123197/123197	---M-Z	200	added ('OK')	text/css	etag:W/%22639ee651-1e13d%22	https://themewagon.github.io/spica/vendors/mdi/css/materialdesignicons.min.css	E:/My%20Admin/themewagon.github.io/spica/vendors/mdi/css/materialdesignicons.min.css	(from https://themewagon.github.io/spica/)
15:26:04	2444/2444	---M-Z	200	added ('OK')	text/css	etag:W/%22639ee651-98c%22	https://themewagon.github.io/spica/vendors/css/vendor.bundle.base.css	E:/My%20Admin/themewagon.github.io/spica/vendors/css/vendor.bundle.base.css	(from https://themewagon.github.io/spica/)
15:26:05	482949/482949	---M-Z	200	added ('OK')	text/css	etag:W/%22639ee650-75e85%22	https://themewagon.github.io/spica/css/style.css	E:/My%20Admin/themewagon.github.io/spica/css/style.css	(from https://themewagon.github.io/spica/)
15:26:05	710/710	---M--	200	added ('OK')	image/png	etag:%22639ee650-2c6%22	https://themewagon.github.io/spica/images/favicon.png	E:/My%20Admin/themewagon.github.io/spica/images/favicon.png	(from https://themewagon.github.io/spica/)
15:26:06	31927/31927	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee650-7cb7%22	https://themewagon.github.io/spica/index.html	E:/My%20Admin/themewagon.github.io/spica/index-2.html	(from https://themewagon.github.io/spica/)
15:26:06	40427/40427	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee651-9deb%22	https://themewagon.github.io/spica/pages/ui-features/buttons.html	E:/My%20Admin/themewagon.github.io/spica/pages/ui-features/buttons.html	(from https://themewagon.github.io/spica/)
15:26:07	34278/34278	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee651-85e6%22	https://themewagon.github.io/spica/pages/ui-features/typography.html	E:/My%20Admin/themewagon.github.io/spica/pages/ui-features/typography.html	(from https://themewagon.github.io/spica/)
15:26:08	44793/44793	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee651-aef9%22	https://themewagon.github.io/spica/pages/forms/basic_elements.html	E:/My%20Admin/themewagon.github.io/spica/pages/forms/basic_elements.html	(from https://themewagon.github.io/spica/)
15:26:09	16199/16199	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee651-3f47%22	https://themewagon.github.io/spica/pages/charts/chartjs.html	E:/My%20Admin/themewagon.github.io/spica/pages/charts/chartjs.html	(from https://themewagon.github.io/spica/)
15:26:09	41053/41053	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee651-a05d%22	https://themewagon.github.io/spica/pages/tables/basic-table.html	E:/My%20Admin/themewagon.github.io/spica/pages/tables/basic-table.html	(from https://themewagon.github.io/spica/)
15:26:10	272128/272128	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee651-42700%22	https://themewagon.github.io/spica/pages/icons/mdi.html	E:/My%20Admin/themewagon.github.io/spica/pages/icons/mdi.html	(from https://themewagon.github.io/spica/)
15:26:10	3270/3270	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee651-cc6%22	https://themewagon.github.io/spica/pages/samples/login.html	E:/My%20Admin/themewagon.github.io/spica/pages/samples/login.html	(from https://themewagon.github.io/spica/)
15:26:11	4608/4608	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee651-1200%22	https://themewagon.github.io/spica/pages/samples/login-2.html	E:/My%20Admin/themewagon.github.io/spica/pages/samples/login-2.html	(from https://themewagon.github.io/spica/)
15:26:11	3575/3575	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee651-df7%22	https://themewagon.github.io/spica/pages/samples/register.html	E:/My%20Admin/themewagon.github.io/spica/pages/samples/register.html	(from https://themewagon.github.io/spica/)
15:26:12	5086/5086	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee651-13de%22	https://themewagon.github.io/spica/pages/samples/register-2.html	E:/My%20Admin/themewagon.github.io/spica/pages/samples/register-2.html	(from https://themewagon.github.io/spica/)
15:26:12	2278/2278	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee651-8e6%22	https://themewagon.github.io/spica/pages/samples/lock-screen.html	E:/My%20Admin/themewagon.github.io/spica/pages/samples/lock-screen.html	(from https://themewagon.github.io/spica/)
15:26:12	8819/8819	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee650-2273%22	https://themewagon.github.io/spica/docs/documentation.html	E:/My%20Admin/themewagon.github.io/spica/docs/documentation.html	(from https://themewagon.github.io/spica/)
15:26:13	990/990	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22639ee650-3de%22	https://themewagon.github.io/spica/images/logo-mini.svg	E:/My%20Admin/themewagon.github.io/spica/images/logo-mini.svg	(from https://themewagon.github.io/spica/)
15:26:13	3393/3393	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22639ee650-d41%22	https://themewagon.github.io/spica/images/logo.svg	E:/My%20Admin/themewagon.github.io/spica/images/logo.svg	(from https://themewagon.github.io/spica/)
15:26:14	11728/11728	---M--	200	added ('OK')	image/jpeg	etag:%22639ee650-2dd0%22	https://themewagon.github.io/spica/images/faces/face4.jpg	E:/My%20Admin/themewagon.github.io/spica/images/faces/face4.jpg	(from https://themewagon.github.io/spica/)
15:26:14	13360/13360	---M--	200	added ('OK')	image/jpeg	etag:%22639ee650-3430%22	https://themewagon.github.io/spica/images/faces/face2.jpg	E:/My%20Admin/themewagon.github.io/spica/images/faces/face2.jpg	(from https://themewagon.github.io/spica/)
